number,value,datetime_start,datetime_complete,duration,params_C,params_feature_select_C,params_min_recall,params_model_type,params_phenotype_clusters,params_pos_weight,params_stack_readmission,user_attrs_summary,state
35,0.6126894320879345,2025-09-12 20:44:15.211432,2025-09-12 20:50:03.643956,0 days 00:05:48.432524,0.39572177742434084,0.4125288225701835,,logreg,6,1.5452070312235193,0,"{'model_type': 'logreg', 'pos_weight': 1.5452070312235193, 'C': 0.39572177742434084, 'min_recall': None, 'feature_select_C': 0.4125288225701835, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6126894320879345, 'pr_auc': 0.06251988807431158, 'f1': 0.11836115326251896, 'precision': 0.07276119402985075, 'recall': 0.3170731707317073, 'brier': 0.041095423481995776, 'ece': 0.004395750083750091, 'threshold': 0.0577708842993789, 'run_dir': 'project/tuning/logistic_joint\\trial_35\\logreg_pw1.5452070312235193_C0.39572177742434084_fs0.4125288225701835_ph6'}",COMPLETE
36,0.6106613878581437,2025-09-12 20:50:03.645636,2025-09-12 21:02:53.982833,0 days 00:12:50.337197,1.0157062287122265,0.7885775273047264,,logreg,6,1.8179833654857052,1,"{'model_type': 'logreg', 'pos_weight': 1.8179833654857052, 'C': 1.0157062287122265, 'min_recall': None, 'feature_select_C': 0.7885775273047264, 'phenotype_clusters': 6, 'stack_readmission': 1, 'roc_auc': 0.6106613878581437, 'pr_auc': 0.06130270053004116, 'f1': 0.11764705882352941, 'precision': 0.08035714285714286, 'recall': 0.21951219512195122, 'brier': 0.041093411746080215, 'ece': 0.005441839143542244, 'threshold': 0.06394499614602525, 'run_dir': 'project/tuning/logistic_joint\\trial_36\\logreg_pw1.8179833654857052_C1.0157062287122265_fs0.7885775273047264_ph6_stack'}",COMPLETE
37,0.6133780047655496,2025-09-12 21:02:53.984145,2025-09-12 21:09:36.121415,0 days 00:06:42.137270,0.3081613502526139,0.5528531526169982,,logreg,4,0.757309728590318,0,"{'model_type': 'logreg', 'pos_weight': 0.757309728590318, 'C': 0.3081613502526139, 'min_recall': None, 'feature_select_C': 0.5528531526169982, 'phenotype_clusters': 4, 'stack_readmission': 0, 'roc_auc': 0.6133780047655496, 'pr_auc': 0.061646645813807105, 'f1': 0.12322274881516587, 'precision': 0.08695652173913043, 'recall': 0.21138211382113822, 'brier': 0.041097541047768776, 'ece': 0.006821861447258818, 'threshold': 0.06709779215097653, 'run_dir': 'project/tuning/logistic_joint\\trial_37\\logreg_pw0.757309728590318_C0.3081613502526139_fs0.5528531526169982_ph4'}",COMPLETE
38,0.6118072682837307,2025-09-12 21:09:36.123363,2025-09-12 21:26:43.200796,0 days 00:17:07.077433,0.535827366182549,1.1313131360323165,,logreg,6,1.3011126556585269,1,"{'model_type': 'logreg', 'pos_weight': 1.3011126556585269, 'C': 0.535827366182549, 'min_recall': None, 'feature_select_C': 1.1313131360323165, 'phenotype_clusters': 6, 'stack_readmission': 1, 'roc_auc': 0.6118072682837307, 'pr_auc': 0.06177639689541696, 'f1': 0.11886901327178304, 'precision': 0.06926698049764626, 'recall': 0.4186991869918699, 'brier': 0.04109574665797265, 'ece': 0.007203926313820692, 'threshold': 0.05489029457953278, 'run_dir': 'project/tuning/logistic_joint\\trial_38\\logreg_pw1.3011126556585269_C0.535827366182549_fs1.1313131360323165_ph6_stack'}",COMPLETE
39,0.6163654254454087,2025-09-12 21:26:43.202606,2025-09-12 21:34:58.051910,0 days 00:08:14.849304,1.9712425663471935,0.6646273244061048,,logreg,0,0.6912732391286837,0,"{'model_type': 'logreg', 'pos_weight': 0.6912732391286837, 'C': 1.9712425663471935, 'min_recall': None, 'feature_select_C': 0.6646273244061048, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6163654254454087, 'pr_auc': 0.06380873331965142, 'f1': 0.1215323645970938, 'precision': 0.09001956947162426, 'recall': 0.18699186991869918, 'brier': 0.041051879350322194, 'ece': 0.00686287225797783, 'threshold': 0.06820259964958765, 'run_dir': 'project/tuning/logistic_joint\\trial_39\\logreg_pw0.6912732391286837_C1.9712425663471935_fs0.6646273244061048_ph0'}",COMPLETE
40,0.6120131686727034,2025-09-12 21:34:58.053534,2025-09-12 21:45:26.450891,0 days 00:10:28.397357,2.9000944202503205,0.6790496537727668,,logreg,0,1.0204554011672062,1,"{'model_type': 'logreg', 'pos_weight': 1.0204554011672062, 'C': 2.9000944202503205, 'min_recall': None, 'feature_select_C': 0.6790496537727668, 'phenotype_clusters': 0, 'stack_readmission': 1, 'roc_auc': 0.6120131686727034, 'pr_auc': 0.06285680269263999, 'f1': 0.11886304909560723, 'precision': 0.08712121212121213, 'recall': 0.18699186991869918, 'brier': 0.04107141279320063, 'ece': 0.005607765453454503, 'threshold': 0.06827900255256762, 'run_dir': 'project/tuning/logistic_joint\\trial_40\\logreg_pw1.0204554011672062_C2.9000944202503205_fs0.6790496537727668_ph0_stack'}",COMPLETE
41,0.6171547102698042,2025-09-12 21:45:26.452690,2025-09-12 21:58:56.120428,0 days 00:13:29.667738,0.849674931871876,0.8502109012368996,,logreg,0,0.5003412126084295,0,"{'model_type': 'logreg', 'pos_weight': 0.5003412126084295, 'C': 0.849674931871876, 'min_recall': None, 'feature_select_C': 0.8502109012368996, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6171547102698042, 'pr_auc': 0.0640074106991486, 'f1': 0.12430278884462151, 'precision': 0.07730426164519326, 'recall': 0.3170731707317073, 'brier': 0.041044270312302567, 'ece': 0.005346793674941941, 'threshold': 0.062240862740317246, 'run_dir': 'project/tuning/logistic_joint\\trial_41\\logreg_pw0.5003412126084295_C0.849674931871876_fs0.8502109012368996_ph0'}",COMPLETE
42,0.6134734948010152,2025-09-12 21:58:56.122228,2025-09-12 22:11:16.932561,0 days 00:12:20.810333,1.895782634504821,0.8384553067094214,,logreg,0,0.7580998799170313,0,"{'model_type': 'logreg', 'pos_weight': 0.7580998799170313, 'C': 1.895782634504821, 'min_recall': None, 'feature_select_C': 0.8384553067094214, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6134734948010152, 'pr_auc': 0.06341236102764708, 'f1': 0.12561174551386622, 'precision': 0.07857142857142857, 'recall': 0.3130081300813008, 'brier': 0.04105874983980525, 'ece': 0.004933381730172026, 'threshold': 0.062396062343733585, 'run_dir': 'project/tuning/logistic_joint\\trial_42\\logreg_pw0.7580998799170313_C1.895782634504821_fs0.8384553067094214_ph0'}",COMPLETE
43,0.6173352461181062,2025-09-12 22:11:16.934207,2025-09-12 22:26:25.599715,0 days 00:15:08.665508,0.44649958115584804,1.1796813473652075,,logreg,0,0.7210880990611921,0,"{'model_type': 'logreg', 'pos_weight': 0.7210880990611921, 'C': 0.44649958115584804, 'min_recall': None, 'feature_select_C': 1.1796813473652075, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6173352461181062, 'pr_auc': 0.06371085518545402, 'f1': 0.12349397590361445, 'precision': 0.07578558225508318, 'recall': 0.3333333333333333, 'brier': 0.04104244441794246, 'ece': 0.0071516715990881125, 'threshold': 0.060303823594994456, 'run_dir': 'project/tuning/logistic_joint\\trial_43\\logreg_pw0.7210880990611921_C0.44649958115584804_fs1.1796813473652075_ph0'}",COMPLETE
44,0.6146730883715517,2025-09-12 22:26:25.602022,2025-09-12 22:41:53.309303,0 days 00:15:27.707281,0.4470341073383064,1.2353675684345204,,logreg,0,0.9279058339124606,0,"{'model_type': 'logreg', 'pos_weight': 0.9279058339124606, 'C': 0.4470341073383064, 'min_recall': None, 'feature_select_C': 1.2353675684345204, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6146730883715517, 'pr_auc': 0.06268706696565463, 'f1': 0.12538540596094552, 'precision': 0.08390646492434663, 'recall': 0.24796747967479674, 'brier': 0.041060406830699, 'ece': 0.004297673782511202, 'threshold': 0.06625889965204493, 'run_dir': 'project/tuning/logistic_joint\\trial_44\\logreg_pw0.9279058339124606_C0.4470341073383064_fs1.2353675684345204_ph0'}",COMPLETE
45,0.6089239168222109,2025-09-12 22:41:53.311385,2025-09-12 22:59:16.414578,0 days 00:17:23.103193,0.9092313179973918,1.4586163818366578,,logreg,0,2.1408401391301517,0,"{'model_type': 'logreg', 'pos_weight': 2.1408401391301517, 'C': 0.9092313179973918, 'min_recall': None, 'feature_select_C': 1.4586163818366578, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6089239168222109, 'pr_auc': 0.062094670320824524, 'f1': 0.1232876712328767, 'precision': 0.08118556701030928, 'recall': 0.25609756097560976, 'brier': 0.041099498820494275, 'ece': 0.005585675675353142, 'threshold': 0.06351613698892884, 'run_dir': 'project/tuning/logistic_joint\\trial_45\\logreg_pw2.1408401391301517_C0.9092313179973918_fs1.4586163818366578_ph0'}",COMPLETE
